NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December,,,,
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,,0.351584,0.402094,0.484230,0.490432,0.498824,0.477929,0.534204,0.525388,0.463231,0.504388,0.470400,0.529525,,,,
BE21,Prov. Antwerpen,,0.166345,0.194734,0.237553,0.231030,0.288910,0.260320,0.320197,0.336045,0.228959,0.272115,0.202710,0.229159,,,,
BE22,Prov. Limburg (BE),,0.115390,0.149442,0.186648,0.176129,0.237616,0.203662,0.285874,0.337512,0.193511,0.232725,0.116566,0.133427,,,,
BE23,Prov. Oost-Vlaanderen,,0.087051,0.092315,0.123200,0.126251,0.155707,0.134530,0.168223,0.187756,0.129565,0.135037,0.113507,0.120042,,,,
BE24,Prov. Vlaams-Brabant,,0.067124,0.072626,0.097487,0.109363,0.113088,0.103401,0.122729,0.124102,0.105223,0.107987,0.084980,0.089310,,,,
BE25,Prov. West-Vlaanderen,,0.158281,0.203453,0.298278,0.338626,0.464732,0.433747,0.556454,0.663883,0.415506,0.398713,0.252555,0.309862,,,,
BE31,Prov. Brabant wallon,,0.014211,0.015975,0.021561,0.022726,0.026265,0.024248,0.029326,0.031107,0.026177,0.026050,0.021785,0.017103,,,,
BE32,Prov. Hainaut,,0.033140,0.036825,0.046295,0.053780,0.063075,0.062161,0.080033,0.088219,0.047335,0.051571,0.040833,0.038197,,,,
BE33,Prov. Liège,,0.041960,0.047694,0.073849,0.101611,0.151045,0.127392,0.182983,0.209307,0.107597,0.095254,0.059299,0.064161,,,,
BE34,Prov. Luxembourg (BE),,0.032240,0.048267,0.055667,0.083529,0.152092,0.108500,0.214927,0.280654,0.094789,0.079723,0.035132,0.043310,,,,
BE35,Prov. Namur,,0.017123,0.021519,0.027570,0.035440,0.061588,0.048873,0.079917,0.102094,0.048681,0.046651,0.021609,0.025742,,,,
BG31,Severozapaden,,0.009056,0.008209,0.005548,0.005278,0.007287,0.010027,0.010039,0.008548,0.006544,0.006298,0.005606,0.004821,,,,
BG32,Severen tsentralen,,0.005838,0.006703,0.008317,0.011000,0.015368,0.018025,0.020172,0.020303,0.017236,0.014906,0.008083,0.006272,,,,
BG33,Severoiztochen,,0.030818,0.034027,0.037789,0.061232,0.215764,0.845332,1.430559,1.538868,0.596211,0.077990,0.036788,0.033863,,,,
BG34,Yugoiztochen,,0.012974,0.013652,0.013541,0.022752,0.254471,1.225140,2.125714,2.199318,0.985478,0.035816,0.013037,0.010695,,,,
BG41,Yugozapaden,,0.295393,0.315541,0.237949,0.148328,0.154078,0.160342,0.180266,0.212906,0.167166,0.188585,0.141809,0.196122,,,,
BG42,Yuzhen tsentralen,,0.067785,0.061989,0.038719,0.036325,0.039255,0.048709,0.064798,0.056516,0.049557,0.040395,0.028133,0.036066,,,,
CZ01,Praha,,0.826594,0.864342,1.209268,1.255162,1.427412,1.328690,1.599881,1.641200,1.321717,1.451283,1.153576,1.585665,,,,
CZ02,St?ední ?echy,,0.032129,0.035628,0.045183,0.048715,0.069305,0.053169,0.088676,0.088199,0.051291,0.057431,0.039099,0.046856,,,,
CZ03,Jihozápad,,0.078863,0.087270,0.098758,0.103983,0.173837,0.158727,0.234693,0.272994,0.142448,0.132186,0.086325,0.108239,,,,
CZ04,Severozápad,,0.202220,0.248198,0.268774,0.236308,0.331906,0.255905,0.312618,0.346956,0.303126,0.342558,0.248449,0.277848,,,,
CZ05,Severovýchod,,0.164771,0.244173,0.080687,0.070170,0.154367,0.116326,0.197463,0.219870,0.108569,0.119343,0.055964,0.133276,,,,
CZ06,Jihovýchod,,0.065363,0.078421,0.084782,0.101081,0.145403,0.141334,0.176156,0.193932,0.127362,0.113012,0.094283,0.085807,,,,
CZ07,St?ední Morava,,0.030832,0.032398,0.036215,0.040832,0.058239,0.052303,0.063724,0.077052,0.046924,0.045840,0.040518,0.033659,,,,
CZ08,Moravskoslezsko,,0.023839,0.027291,0.027720,0.034188,0.061515,0.044692,0.058677,0.057898,0.038461,0.036004,0.033041,0.026674,,,,
DK01,Hovedstaden,,0.342945,0.370963,0.538591,0.609029,0.790956,0.827011,1.096029,1.155110,0.754423,0.683656,0.567354,0.609202,,,,
DK02,Sjælland,,0.017615,0.020354,0.025101,0.029038,0.047707,0.074273,0.162830,0.178603,0.039461,0.045828,0.018280,0.016880,,,,
DK03,Syddanmark,,0.058843,0.058422,0.143277,0.248316,0.447273,0.470192,0.901207,0.980531,0.305852,0.286430,0.069466,0.097295,,,,
DK04,Midtjylland,,0.030367,0.030168,0.048317,0.067703,0.123922,0.147366,0.300113,0.333282,0.103671,0.090077,0.037110,0.035812,,,,
DK05,Nordjylland,,0.021074,0.025568,0.053441,0.055380,0.119157,0.173129,0.369034,0.319367,0.115878,0.061141,0.032354,0.024872,,,,
DE11,Stuttgart,,0.167705,0.244224,0.226655,0.243567,0.251262,0.365586,0.342276,0.300182,0.282255,0.280400,0.217790,0.225062,,,,
DE12,Karlsruhe,,0.116341,0.135959,0.153656,0.172779,0.204840,0.230975,0.310382,0.322804,0.223403,0.196982,0.157079,0.174545,,,,
DE13,Freiburg,,0.171591,0.194274,0.253618,0.389879,0.449676,0.428832,0.680891,0.727931,0.429693,0.410424,0.257528,0.330020,,,,
DE14,Tübingen,,0.066717,0.106294,0.093751,0.155358,0.147706,0.153366,0.253955,0.223552,0.141872,0.150587,0.086522,0.079632,,,,
DE21,Oberbayern,,0.666890,0.776121,0.816790,0.900899,1.084100,1.287761,1.537374,1.679901,1.318910,1.132189,0.904641,1.099848,,,,
DE22,Niederbayern,,0.046336,0.056727,0.057895,0.061947,0.079023,0.082942,0.119087,0.118883,0.081083,0.078008,0.060432,0.053272,,,,
DE23,Oberpfalz,,0.041134,0.046996,0.058471,0.051285,0.063468,0.070769,0.094076,0.094364,0.067839,0.059580,0.048884,0.050068,,,,
DE24,Oberfranken,,0.021333,0.025301,0.028238,0.030271,0.037825,0.043394,0.063834,0.064269,0.040190,0.033268,0.027910,0.024210,,,,
DE25,Mittelfranken,,0.143705,0.180218,0.160668,0.154773,0.201433,0.213815,0.277492,0.251135,0.193959,0.168559,0.145970,0.221597,,,,
DE26,Unterfranken,,0.029341,0.041022,0.038650,0.040131,0.057233,0.064871,0.092203,0.087171,0.059587,0.044773,0.033094,0.036120,,,,
DE27,Schwaben,,0.103852,0.171072,0.137877,0.195437,0.231327,0.242939,0.376844,0.354959,0.216438,0.209351,0.107179,0.123214,,,,
DE30,Berlin,,0.621432,0.831693,0.959911,1.054780,1.174725,1.197483,1.409035,1.295955,1.176249,1.095047,0.874532,1.092090,,,,
DE40,Brandenburg,,0.059211,0.069009,0.069641,0.084110,0.103734,0.111961,0.155917,0.134853,0.111962,0.091651,0.072616,0.062277,,,,
DE50,Bremen,,0.024879,0.030568,0.032781,0.040123,0.043806,0.052326,0.072014,0.062059,0.045138,0.042899,0.046938,0.047280,,,,
DE60,Hamburg,,0.181656,0.216926,0.253494,0.276806,0.331333,0.396030,0.483819,0.379045,0.360908,0.323302,0.266659,0.298459,,,,
DE71,Darmstadt,,0.551371,0.397515,0.486113,0.480592,0.512389,0.731516,0.639458,0.558575,0.631473,0.540363,0.515886,0.487069,,,,
DE72,Gießen,,0.012534,0.014465,0.019254,0.021513,0.024064,0.029159,0.029807,0.030197,0.027496,0.022209,0.017546,0.014604,,,,
DE73,Kassel,,0.034289,0.054603,0.038503,0.038050,0.049395,0.057972,0.088375,0.077827,0.051010,0.041012,0.030544,0.031900,,,,
DE80,Mecklenburg-Vorpommern,,0.025278,0.031514,0.043137,0.050341,0.091447,0.119080,0.210842,0.177415,0.102389,0.056402,0.037658,0.037865,,,,
DE91,Braunschweig,,0.035826,0.049102,0.051457,0.069390,0.079069,0.085962,0.155361,0.119468,0.080395,0.061682,0.048845,0.040294,,,,
DE92,Hannover,,0.060902,0.046024,0.060333,0.092980,0.073789,0.085740,0.118474,0.112020,0.108321,0.094769,0.083749,0.049181,,,,
DE93,Lüneburg,,0.021984,0.030260,0.031961,0.043875,0.064628,0.076864,0.157174,0.108722,0.061199,0.043986,0.031227,0.027213,,,,
DE94,Weser-Ems,,0.058265,0.072935,0.073068,0.110153,0.126571,0.113562,0.144961,0.166910,0.112087,0.090726,0.078252,0.076688,,,,
DEA1,Düsseldorf,,0.255030,0.208411,0.269455,0.289403,0.318883,0.472286,0.348977,0.285442,0.276246,0.305409,0.349164,0.374325,,,,
DEA2,Köln,,0.240997,0.211447,0.301471,0.314509,0.350716,0.537631,0.423680,0.460822,0.346647,0.346776,0.349964,0.459154,,,,
DEA3,Münster,,0.032639,0.038781,0.044413,0.062868,0.069899,0.079949,0.092211,0.083769,0.070335,0.058121,0.051075,0.055575,,,,
DEA4,Detmold,,0.024341,0.026785,0.032270,0.038978,0.046160,0.057029,0.060974,0.060748,0.053492,0.037030,0.033364,0.027804,,,,
DEA5,Arnsberg,,0.146123,0.205868,0.109639,0.127422,0.149227,0.187106,0.186792,0.222210,0.153350,0.137294,0.120069,0.152684,,,,
DEB1,Koblenz,,0.040311,0.048089,0.061346,0.105307,0.169704,0.182229,0.277974,0.308298,0.198153,0.118636,0.071184,0.065549,,,,
DEB2,Trier,,0.048903,0.075923,0.067553,0.149219,0.191978,0.195251,0.360705,0.399534,0.208684,0.141142,0.080281,0.094552,,,,
DEB3,Rheinhessen-Pfalz,,0.063053,0.071904,0.083237,0.089946,0.094658,0.114221,0.122216,0.119172,0.108411,0.095711,0.073335,0.066243,,,,
DEC0,Saarland,,0.021786,0.033052,0.031228,0.043643,0.046157,0.041612,0.066267,0.061992,0.040608,0.041755,0.032852,0.031182,,,,
DED2,Dresden,,0.050740,0.053435,0.069686,0.079259,0.113579,0.122900,0.159144,0.152225,0.108960,0.101269,0.070804,0.109588,,,,
DED4,Chemnitz,,0.013656,0.014949,0.018350,0.018597,0.020823,0.021455,0.032711,0.024279,0.021364,0.017611,0.014444,0.015054,,,,
DED5,Leipzig,,0.039097,0.047511,0.048903,0.051070,0.077971,0.121367,0.088290,0.068726,0.056411,0.056850,0.046279,0.047201,,,,
DEE0,Sachsen-Anhalt,,0.030932,0.034849,0.035905,0.041697,0.049582,0.064465,0.085919,0.067016,0.052143,0.042718,0.031535,0.027377,,,,
DEF0,Schleswig-Holstein,,0.063405,0.101255,0.124614,0.125247,0.181437,0.210727,0.395407,0.260066,0.166365,0.148892,0.115228,0.125436,,,,
DEG0,Thüringen,,0.030693,0.030659,0.035523,0.038328,0.048932,0.056801,0.074008,0.064980,0.052005,0.044544,0.034581,0.032857,,,,
EE00,Eesti,,0.169307,0.211477,0.233237,0.231890,0.320460,0.385960,0.529861,0.449415,0.301711,0.294998,0.242081,0.297578,,,,
IE04,Northern and Western,,0.154492,0.437262,0.498543,0.462916,0.940643,0.676839,0.628678,1.110417,0.771841,0.569848,0.256258,0.299546,,,,
IE05,Southern,,0.208271,0.186100,0.431645,0.660459,0.389493,0.594056,1.124725,1.151154,0.623452,0.629691,0.125431,0.755967,,,,
IE06,Eastern and Midland,,0.655766,0.531263,0.672001,0.632929,1.191042,1.474293,0.898010,1.018402,1.092655,0.910242,0.865917,0.719713,,,,
EL30,Attiki,,0.346216,0.387899,0.531928,0.726074,0.937801,1.180744,1.303436,1.296852,1.134282,0.782611,0.447779,0.440516,,,,
EL41,Voreio Aigaio,,0.004677,0.004386,0.006203,0.038625,0.177931,0.389360,0.518898,0.568336,0.425503,0.083974,0.011989,0.008151,,,,
EL42,Notio Aigaio,,0.020263,0.022964,0.171348,1.461997,4.495370,6.529411,7.960584,8.020944,6.193343,3.202835,0.146698,0.055724,,,,
EL43,Kriti,,0.034537,0.059277,0.170677,1.410009,3.821753,5.303410,6.414172,6.663116,5.380292,3.115028,0.198615,0.043551,,,,
EL51,"Anatoliki Makedonia, Thraki",,0.019105,0.017910,0.019609,0.050336,0.151358,0.459044,0.752067,0.796603,0.448792,0.061719,0.029957,0.028414,,,,
EL52,Kentriki Makedonia,,0.076494,0.079400,0.106625,0.389280,0.995763,2.273016,3.386214,3.633430,2.352628,0.645291,0.140037,0.106247,,,,
EL53,Dytiki Makedonia,,0.002368,0.002675,0.001644,0.003172,0.004128,0.004834,0.005975,0.006370,0.004958,0.003540,0.001682,0.002780,,,,
EL54,Ipeiros,,0.007257,0.007758,0.007815,0.027121,0.150725,0.264867,0.373929,0.383072,0.285203,0.088303,0.011206,0.009237,,,,
