NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December,,,,
EL61,Thessalia,,0.014663,0.014226,0.024789,0.070297,0.218810,0.369230,0.582228,0.631063,0.362282,0.080749,0.021366,0.017265,,,,
EL62,Ionia Nisia,,0.003220,0.004721,0.008955,0.409683,2.028195,3.257458,4.435578,4.632655,3.360507,1.013605,0.016737,0.017858,,,,
EL63,Dytiki Elláda,,0.007950,0.010059,0.025695,0.044451,0.121265,0.179730,0.218260,0.232660,0.219003,0.105505,0.052999,0.008971,,,,
EL64,Sterea Elláda,,0.021513,0.021967,0.036132,0.079257,0.114299,0.156313,0.208302,0.238397,0.197375,0.058813,0.013608,0.018033,,,,
EL65,Peloponnisos,,0.019326,0.030450,0.074348,0.162284,0.290153,0.397931,0.536901,0.554936,0.481600,0.227407,0.052837,0.035404,,,,
ES11,Galicia,,0.081321,0.086687,0.154462,0.315214,0.520910,0.469111,0.446994,0.584579,0.570616,0.411485,0.154556,0.110445,,,,
ES12,Principado de Asturias,,0.031050,0.027253,0.053417,0.085414,0.127416,0.143597,0.225127,0.256154,0.175755,0.092621,0.042187,0.033036,,,,
ES13,Cantabria,,0.021083,0.025993,0.050921,0.079516,0.139124,0.137791,0.248646,0.246932,0.174155,0.080447,0.030811,0.020543,,,,
ES21,País Vasco,,0.155301,0.176495,0.279289,0.374728,0.495382,0.475141,0.635733,0.714057,0.537706,0.444619,0.246811,0.198396,,,,
ES22,Comunidad Foral de Navarra,,0.025787,0.026335,0.044947,0.097480,0.142317,0.091012,0.148636,0.161614,0.133968,0.077807,0.041850,0.031074,,,,
ES23,La Rioja,,0.007555,0.010034,0.016039,0.035397,0.051114,0.040382,0.038655,0.043782,0.053776,0.033927,0.014524,0.008679,,,,
ES24,Aragón,,0.069866,0.094899,0.104508,0.153187,0.198490,0.186166,0.261741,0.314604,0.201604,0.163916,0.106985,0.080291,,,,
ES30,Comunidad de Madrid,,1.114842,1.167390,1.452091,1.648003,1.714793,1.547926,1.582125,1.452739,1.662760,1.781771,1.435099,1.248077,,,,
ES41,Castilla y León,,0.092134,0.111629,0.157316,0.250422,0.340561,0.283967,0.317805,0.335149,0.346643,0.263669,0.147415,0.120849,,,,
ES42,Castilla-La Mancha,,0.041730,0.050751,0.062381,0.071351,0.090949,0.069555,0.069181,0.073401,0.082776,0.089269,0.069423,0.047197,,,,
ES43,Extremadura,,0.027711,0.029737,0.046756,0.071974,0.074846,0.056533,0.056930,0.076253,0.065514,0.056162,0.039474,0.032028,,,,
ES51,Cataluña,,1.682513,2.064303,2.774465,4.042912,6.123208,6.525677,9.572177,10.107586,6.914962,4.860576,2.081141,1.767358,,,,
ES52,Comunitat Valenciana,,1.769945,1.960357,2.258528,2.409519,2.641222,2.563169,2.989282,3.435336,2.878200,2.982026,1.865215,1.654973,,,,
ES53,Illes Balears,,0.198051,0.461785,1.530979,3.437405,8.785334,10.079761,11.739792,12.133928,10.125258,7.413696,0.395814,0.281086,,,,
ES61,Andalucía,,2.059878,2.444390,3.105529,3.831301,4.372558,4.056436,4.145551,4.527384,4.489208,4.468017,2.492742,1.925600,,,,
ES62,Región de Murcia,,0.179591,0.185360,0.172936,0.143035,0.135856,0.139169,0.175245,0.195186,0.176911,0.199042,0.161811,0.150843,,,,
ES63,Ciudad de Ceuta,,0.003147,0.003271,0.002622,0.005106,0.003176,0.005318,0.004881,0.008417,0.002939,0.002372,0.004150,0.004234,,,,
ES64,Ciudad de Melilla,,0.001409,0.001326,0.001047,0.001688,0.001302,0.001613,0.001813,0.004697,0.002067,0.001793,0.001462,0.001956,,,,
ES70,Canarias,,7.855370,7.672707,8.089482,6.793002,6.249835,6.297486,7.118120,7.447015,6.686993,7.742193,7.708870,7.526836,,,,
FR10,Ile-de-France,,2.755804,2.734154,3.684830,3.769096,4.292832,3.879633,3.938880,4.254965,3.827835,4.175704,3.129889,3.670370,,,,
FRB0,Centre — Val de Loire,,0.039877,0.038359,0.069495,0.114022,0.212522,0.275588,0.513428,0.568103,0.239517,0.106839,0.050198,0.048550,,,,
FRC1,Bourgogne,,0.055621,0.064362,0.106798,0.137442,0.238209,0.289127,0.480780,0.486454,0.283595,0.147360,0.068876,0.074862,,,,
FRC2,Franche-Comté,,0.024146,0.025646,0.036169,0.040895,0.131468,0.120102,0.316471,0.332690,0.097840,0.039366,0.020754,0.024372,,,,
FRD1,Basse-Normandie,,0.023593,0.029826,0.076997,0.147018,0.298318,0.413365,0.726545,0.796777,0.334380,0.146256,0.048729,0.038263,,,,
FRD2,Haute-Normandie,,0.026656,0.026501,0.043613,0.073059,0.144757,0.168909,0.274653,0.335532,0.150685,0.072501,0.033554,0.031127,,,,
FRE1,Nord-Pas de Calais,,0.078707,0.093495,0.130924,0.165993,0.242525,0.227852,0.371551,0.416630,0.243187,0.172957,0.109430,0.117731,,,,
FRE2,Picardie,,0.028193,0.031267,0.059963,0.115927,0.184770,0.177550,0.365713,0.394912,0.162197,0.092765,0.038970,0.037844,,,,
FRF1,Alsace,,0.149382,0.175133,0.273020,0.335412,0.505135,0.457284,0.632269,0.693788,0.462611,0.393909,0.266647,0.510881,,,,
FRF2,Champagne-Ardenne,,0.036139,0.046353,0.071682,0.093952,0.160059,0.172651,0.295601,0.315437,0.160824,0.086233,0.050917,0.056860,,,,
FRF3,Lorraine,,0.082973,0.088149,0.122654,0.134246,0.259702,0.235464,0.456901,0.503865,0.216791,0.174680,0.070419,0.099559,,,,
FRG0,Pays de la Loire,,0.056124,0.060274,0.082694,0.119950,0.236721,0.388994,0.934086,0.977246,0.275460,0.114825,0.063175,0.058847,,,,
FRH0,Bretagne,,0.042931,0.044436,0.086741,0.154205,0.379085,0.587251,1.239771,1.460549,0.517004,0.157748,0.052689,0.051210,,,,
FRI1,Aquitaine,,0.095762,0.091360,0.246257,0.337016,0.608985,0.977258,2.524254,2.660440,0.986873,0.335870,0.135115,0.143351,,,,
FRI2,Limousin,,0.006042,0.006641,0.010274,0.013758,0.027401,0.047816,0.116293,0.136635,0.038711,0.015781,0.007406,0.007239,,,,
FRI3,Poitou-Charentes,,0.026011,0.027723,0.053333,0.084470,0.177617,0.291226,0.720132,0.727954,0.270839,0.096383,0.033459,0.033901,,,,
FRJ1,Languedoc-Roussillon,,0.083323,0.075779,0.155018,0.323596,0.964875,1.096017,2.394496,2.130069,1.128343,0.280677,0.087043,0.141942,,,,
FRJ2,Midi-Pyrénées,,0.115351,0.133130,0.164444,0.252060,0.393302,0.437046,0.800969,0.824701,0.465997,0.288342,0.116624,0.132336,,,,
FRK1,Auvergne,,0.022188,0.023463,0.033070,0.044948,0.072165,0.107225,0.255386,0.252248,0.099863,0.043303,0.021327,0.025902,,,,
FRK2,Rhône-Alpes,,1.771093,1.718432,1.826737,1.011572,0.826328,1.175486,2.568134,2.446077,0.896582,0.424241,0.287632,1.195642,,,,
FRL0,Provence-Alpes-Côte d’Azur,,0.410299,0.452574,0.751100,1.182743,1.911498,2.282969,3.676246,3.477454,2.365856,1.228461,0.402846,0.464222,,,,
FRM0,Corse,,0.004494,0.005192,0.012048,0.073424,0.347234,0.511290,0.883335,1.090637,0.579535,0.149879,0.008911,0.006577,,,,
FRY1,Guadeloupe,,0.022857,0.018780,0.024273,0.017566,0.015602,0.014639,0.012312,0.006656,0.002931,0.006823,0.019874,0.017667,,,,
FRY2,Martinique,,0.023905,0.021156,0.019896,0.017756,0.012690,0.011741,0.012484,0.008297,0.003387,0.006699,0.016622,0.022450,,,,
FRY3,Guyane,,:,:,:,:,:,:,:,:,:,:,:,:,,,,
FRY4,La Réunion,,0.007100,0.007043,0.007527,0.008918,0.009338,0.007570,0.012493,0.010527,0.015621,0.013759,0.014217,0.009443,,,,
FRY5,Mayotte,,:,:,:,:,:,:,:,:,:,:,:,:,,,,
HR02,Panonska Hrvatska,,0.014702,0.016470,0.028431,0.048873,0.078411,0.085186,0.149754,0.204549,0.088144,0.049689,0.021896,0.020350,,,,
HR03,Jadranska Hrvatska,,0.212517,0.279361,0.788531,2.016123,5.935864,11.244715,22.920729,24.321970,10.132820,2.702556,0.417734,0.346488,,,,
HR05,Grad Zagreb,,0.094705,0.089810,0.125783,0.195165,0.212565,0.215116,0.230961,0.259594,0.224349,0.196355,0.128944,0.162734,,,,
HR06,Sjeverna Hrvatska,,0.021231,0.029786,0.032398,0.048914,0.057430,0.067559,0.123803,0.140856,0.062028,0.046555,0.030288,0.032542,,,,
ITC1,Piemonte,,0.279779,0.375657,0.440064,0.509520,0.806184,0.745644,1.119661,1.151201,0.843384,0.559030,0.272062,0.259841,,,,
ITC2,Valle d’Aosta/Vallée d’Aoste,,0.182934,0.279163,0.233601,0.082732,0.042918,0.086311,0.187461,0.176735,0.085500,0.031829,0.017707,0.124806,,,,
ITC3,Liguria,,0.113488,0.150063,0.297073,0.560897,0.935456,0.831941,1.248257,1.197370,1.023536,0.687334,0.201474,0.147388,,,,
ITC4,Lombardia,,1.264422,1.515031,1.831870,2.263951,3.019755,2.987962,4.040567,4.011108,3.134597,2.377646,1.338900,1.463902,,,,
ITF1,Abruzzo,,0.031016,0.027640,0.033301,0.048676,0.106970,0.137445,0.224207,0.178791,0.145128,0.067330,0.055241,0.028342,,,,
ITF2,Molise,,0.001004,0.001348,0.001689,0.002065,0.004698,0.004881,0.007955,0.007826,0.005272,0.002961,0.001773,0.000863,,,,
ITF3,Campania,,0.157495,0.200372,0.413851,0.920801,1.446264,1.564109,1.818105,1.608431,1.688065,1.276099,0.344494,0.204273,,,,
ITF4,Puglia,,0.061974,0.074819,0.129724,0.372413,0.763394,0.804612,0.997892,0.878527,1.015797,0.702208,0.140964,0.089232,,,,
ITF5,Basilicata,,0.008341,0.009698,0.015744,0.033055,0.055685,0.062228,0.059468,0.054243,0.072017,0.053150,0.014837,0.009459,,,,
ITF6,Calabria,,0.008225,0.008632,0.014680,0.039842,0.163614,0.253733,0.343431,0.291914,0.301439,0.147914,0.018682,0.014002,,,,
ITG1,Sicilia,,0.138528,0.165430,0.336104,0.726260,1.075684,1.081662,1.269170,1.159525,1.254600,1.063710,0.274010,0.152686,,,,
ITG2,Sardegna,,0.016886,0.019967,0.042582,0.272559,0.932862,1.218053,1.582671,1.431703,1.522041,0.868860,0.042794,0.025685,,,,
ITH1,Provincia Autonoma di Bolzano/Bozen,,2.105479,2.691695,2.143206,1.099529,2.085267,2.569500,3.276191,3.043977,3.170989,2.413554,0.423364,1.529949,,,,
ITH2,Provincia Autonoma di Trento,,0.834538,1.071759,0.809750,0.333635,0.640319,0.773811,1.208613,1.108006,0.847027,0.429886,0.085039,0.476855,,,,
ITH3,Veneto,,0.963332,1.297395,1.928106,2.830274,6.134641,6.469412,10.001389,10.202191,6.512715,3.222095,1.182204,1.034733,,,,
ITH4,Friuli-Venezia Giulia,,0.152515,0.160791,0.192270,0.216077,0.659585,0.806347,1.305296,1.311360,0.693678,0.252500,0.129592,0.132472,,,,
ITH5,Emilia-Romagna,,0.288071,0.302906,0.515719,0.677828,1.258954,1.415129,2.606317,2.287719,1.448112,0.707222,0.405340,0.302310,,,,
ITI1,Toscana,,0.555489,0.598131,1.130402,1.851062,3.318333,3.146195,4.457197,4.072867,3.557645,2.416345,0.853206,0.664355,,,,
ITI2,Umbria,,0.043299,0.048369,0.081647,0.172340,0.282480,0.285410,0.377380,0.357094,0.310256,0.255795,0.097605,0.072607,,,,
ITI3,Marche,,0.040214,0.039000,0.052918,0.081245,0.180835,0.278241,0.410838,0.349955,0.249792,0.110489,0.062467,0.053199,,,,
ITI4,Lazio,,1.431118,1.907104,2.533219,3.089123,3.657523,3.596120,3.942629,3.385510,3.615332,3.742867,2.145497,1.743050,,,,
CY00,Kýpros,,0.210896,0.282096,0.552010,1.257258,1.792455,2.073334,2.401517,2.456024,2.259029,2.220053,0.721521,0.332661,,,,
LV00,Latvija,,0.120028,0.126150,0.162114,0.186684,0.243717,0.304907,0.429829,0.410285,0.251574,0.216094,0.182175,0.207696,,,,
LT01,Sostin?s regionas,,0.087550,0.080576,0.107853,0.120596,0.157338,0.159797,0.179929,0.198558,0.154352,0.134806,0.111188,0.115870,,,,
LT02,Vidurio ir vakar? Lietuvos regionas,,0.088872,0.078970,0.104912,0.102068,0.129417,0.153075,0.203957,0.201670,0.133693,0.112886,0.094619,0.089619,,,,
LU00,Luxembourg,,0.105405,0.119375,0.143377,0.239410,0.375222,0.342942,0.501656,0.589187,0.273863,0.212868,0.163176,0.159036,,,,
HU11,Budapest,,0.504016,0.539339,0.677890,0.720395,0.829683,0.795294,0.853075,0.945396,0.818887,0.817076,0.739229,0.881432,,,,
HU12,Pest,,0.021094,0.021426,0.027953,0.032072,0.041213,0.043768,0.062520,0.055204,0.040697,0.037839,0.028620,0.030307,,,,
HU21,Közép-Dunántúl,,0.031847,0.033490,0.042316,0.057276,0.084122,0.097199,0.201786,0.217268,0.078993,0.046025,0.031746,0.024661,,,,
HU22,Nyugat-Dunántúl,,0.103200,0.142017,0.178060,0.158290,0.219185,0.203794,0.247212,0.273285,0.209863,0.212536,0.161213,0.116165,,,,
HU23,Dél-Dunántúl,,0.008746,0.010732,0.014922,0.020891,0.043388,0.071368,0.149809,0.144720,0.044191,0.023576,0.013203,0.011816,,,,
HU31,Észak-Magyarország,,0.017898,0.019754,0.022537,0.025781,0.046898,0.041439,0.077060,0.091772,0.037875,0.027709,0.023165,0.015215,,,,
HU32,Észak-Alföld,,0.043064,0.045966,0.044931,0.056123,0.078199,0.077486,0.118999,0.138950,0.077758,0.058836,0.053686,0.044652,,,,
HU33,Dél-Alföld,,0.037665,0.041396,0.035142,0.044099,0.059986,0.059665,0.085057,0.088122,0.061947,0.050994,0.044365,0.036726,,,,
MT00,Malta,,0.485185,0.584607,0.745182,0.883296,0.982881,0.990181,1.194279,1.252856,1.017597,1.054456,0.800398,0.614165,,,,
NL11,Groningen,,0.035682,0.025758,0.048017,0.050231,0.069033,0.061322,0.090312,0.102422,0.063259,0.070471,0.034487,0.028743,,,,
NL12,Friesland (NL),,0.044623,0.037788,0.100493,0.133333,0.170730,0.177941,0.335003,0.322247,0.145696,0.173172,0.046294,0.032569,,,,
NL13,Drenthe,,0.063341,0.069008,0.167337,0.118258,0.099870,0.080580,0.265137,0.207802,0.088465,0.210555,0.036526,0.044292,,,,
NL21,Overijssel,,0.038240,0.033405,0.074183,0.141686,0.179229,0.138582,0.272833,0.263597,0.104594,0.176940,0.045179,0.039875,,,,
NL22,Gelderland,,0.085280,0.078979,0.158055,0.258292,0.277991,0.249515,0.471562,0.416910,0.190347,0.300136,0.110375,0.077489,,,,
NL23,Flevoland,,0.050465,0.034690,0.073772,0.071426,0.084267,0.067150,0.139343,0.156973,0.082089,0.108858,0.020140,0.030868,,,,
NL32,Noord-Holland,,1.503070,1.518813,2.057062,2.456443,2.518164,2.359866,3.024435,3.086573,2.369196,2.431314,1.772478,1.708973,,,,
NL34,Zeeland,,0.237323,0.186276,0.393526,0.672916,0.861686,0.816325,1.152388,1.355471,0.785981,0.866933,0.304419,0.163891,,,,
NL35,Utrecht,,0.063550,0.060675,0.098088,0.120987,0.119590,0.100352,0.131163,0.137604,0.104261,0.097234,0.080868,0.066375,,,,
NL36,Zuid-Holland,,0.342091,0.345057,0.588307,0.880139,0.878517,0.783802,1.144116,1.337312,0.818028,0.807753,0.403684,0.343405,,,,
