NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,,0.015082,0.014956,0.015819,0.014031,0.015039,0.01632,0.015301,0.015336,0.015471,0.015064,0.014656,0.013157
BE21,Prov. Antwerpen,,0.014466,0.015967,0.016118,0.017317,0.01841,0.018109,0.015876,0.018263,0.016366,0.019079,0.01798,0.016517
BE22,Prov. Limburg (BE),,0.006109,0.008358,0.011385,0.018874,0.020192,0.01539,0.015821,0.020326,0.013898,0.018976,0.014937,0.015584
BE23,Prov. Oost-Vlaanderen,,0.007507,0.009601,0.012791,0.012589,0.016004,0.013075,0.01898,0.01735,0.013746,0.018189,0.013647,0.012895
BE24,Prov. Vlaams-Brabant,,0.004616,0.00473,0.005208,0.006004,0.006738,0.006736,0.006725,0.006917,0.007531,0.007266,0.005775,0.006424
BE25,Prov. West-Vlaanderen,,0.04464,0.054974,0.085769,0.157549,0.161318,0.122246,0.248739,0.265742,0.116243,0.127004,0.071919,0.123491
BE31,Prov. Brabant wallon,,0.002666,0.002935,0.003154,0.003161,0.004003,0.003113,0.003578,0.00379,0.003651,0.003974,0.003513,0.00389
BE32,Prov. Hainaut,,0.00913,0.00884,0.011272,0.016165,0.01923,0.016038,0.017014,0.01821,0.015992,0.019965,0.015251,0.017272
BE33,Prov. Liège,,0.0297,0.035703,0.035853,0.055868,0.048437,0.032385,0.048361,0.056971,0.038824,0.056621,0.051094,0.068515
BE34,Prov. Luxembourg (BE),,0.039975,0.037643,0.040887,0.069221,0.058622,0.046596,0.073379,0.077147,0.046896,0.075541,0.069523,0.090566
BE35,Prov. Namur,,0.017571,0.019727,0.024419,0.038575,0.036233,0.025029,0.038023,0.038536,0.027928,0.040871,0.031647,0.045476
BG31,Severozapaden,,0.001952,0.002678,0.003036,0.005043,0.006113,0.00405,0.004881,0.00664,0.005907,0.003536,0.002914,0.00395
BG32,Severen tsentralen,,0.003965,0.004542,0.008647,0.009748,0.010919,0.007381,0.008772,0.010849,0.012294,0.008301,0.006256,0.008056
BG33,Severoiztochen,,0.007311,0.00625,0.008847,0.011793,0.014771,0.027437,0.054977,0.06374,0.023025,0.011172,0.008773,0.011039
BG34,Yugoiztochen,,0.005134,0.005008,0.009189,0.010537,0.016369,0.062333,0.154725,0.171917,0.042109,0.009294,0.007242,0.009002
BG41,Yugozapaden,,0.043317,0.048295,0.04903,0.04344,0.050911,0.041718,0.049142,0.060438,0.058645,0.047715,0.044129,0.055164
BG42,Yuzhen tsentralen,,0.025242,0.032258,0.021004,0.018619,0.022605,0.022595,0.030864,0.034414,0.027806,0.01949,0.017391,0.027452
CZ01,Praha,,0.029634,0.034328,0.039234,0.030492,0.039084,0.041049,0.037963,0.043248,0.039827,0.046063,0.043036,0.035222
CZ02,Střední Čechy,,0.005345,0.005773,0.007782,0.011911,0.016359,0.016801,0.02612,0.027422,0.014179,0.015678,0.010422,0.008746
CZ03,Jihozápad,,0.028262,0.048479,0.021727,0.040033,0.054858,0.056517,0.116067,0.116097,0.043285,0.048791,0.021384,0.037037
CZ04,Severozápad,,0.01648,0.022511,0.013999,0.019824,0.029691,0.024345,0.056005,0.050866,0.021137,0.027137,0.01521,0.017502
CZ05,Severovýchod,,0.053397,0.08296,0.035042,0.046442,0.058968,0.060723,0.11229,0.125015,0.049745,0.061517,0.031043,0.048584
CZ06,Jihovýchod,,0.018811,0.02204,0.027969,0.04361,0.057674,0.053349,0.091577,0.100732,0.057727,0.057643,0.036457,0.032829
CZ07,Střední Morava,,0.016422,0.026819,0.014799,0.022642,0.028287,0.026683,0.051842,0.052558,0.02483,0.026946,0.017067,0.022701
