NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December
BE10,Région de Bruxelles-Capitale / Brussels Hoofdstedelijk Gewest,,0.123218,0.137485,0.157967,0.197137,0.200506,0.178899,0.204202,0.203116,0.164315,0.190907,0.147981,0.197877
BE21,Prov. Antwerpen,,0.050522,0.064675,0.060336,0.094335,0.095269,0.091859,0.120259,0.112344,0.076816,0.097247,0.069432,0.084248
BE22,Prov. Limburg (BE),,0.012334,0.013988,0.016258,0.027531,0.025427,0.028667,0.039732,0.040184,0.023478,0.030685,0.018792,0.03023
BE23,Prov. Oost-Vlaanderen,,0.034021,0.037144,0.040036,0.067548,0.063842,0.057645,0.078232,0.083889,0.055703,0.060727,0.042448,0.062963
BE24,Prov. Vlaams-Brabant,,0.014067,0.015355,0.018299,0.029812,0.029921,0.026164,0.033328,0.034177,0.024773,0.028876,0.018682,0.026949
BE25,Prov. West-Vlaanderen,,0.049195,0.055308,0.068022,0.214748,0.176846,0.224482,0.333539,0.339922,0.135707,0.166753,0.07276,0.141782
BE31,Prov. Brabant wallon,,0.005159,0.005237,0.005522,0.011002,0.01139,0.010418,0.013152,0.014054,0.008021,0.009419,0.007095,0.01054
BE32,Prov. Hainaut,,0.017887,0.018489,0.021081,0.04089,0.038226,0.035531,0.051302,0.059532,0.033086,0.038586,0.027536,0.032564
BE33,Prov. Liège,,0.043463,0.042657,0.049952,0.106477,0.114786,0.109208,0.137679,0.143905,0.078618,0.107359,0.053699,0.079541
BE34,Prov. Luxembourg (BE),,0.023913,0.024433,0.02631,0.076818,0.076818,0.07438,0.096898,0.108935,0.052089,0.074292,0.027259,0.053411
BE35,Prov. Namur,,0.012917,0.014608,0.0173,0.046195,0.045823,0.048212,0.063669,0.073354,0.034805,0.047473,0.020472,0.032124
BG31,Severozapaden,,0.000864,0.0007,0.000995,0.001578,0.001568,0.002723,0.004242,0.00562,0.002376,0.00172,0.000843,0.000974
BG32,Severen tsentralen,,0.003874,0.002824,0.004265,0.009137,0.010108,0.012616,0.017362,0.021308,0.009923,0.008627,0.004903,0.004705
BG33,Severoiztochen,,0.009885,0.009417,0.01241,0.024426,0.02876,0.080911,0.160724,0.183058,0.060017,0.02583,0.014533,0.014848
BG34,Yugoiztochen,,0.006441,0.00651,0.007758,0.014381,0.020051,0.106036,0.240608,0.256775,0.059528,0.014981,0.007506,0.007623
BG41,Yugozapaden,,0.14835,0.172276,0.111206,0.098941,0.096151,0.104749,0.133953,0.158216,0.106612,0.116989,0.084323,0.142704
BG42,Yuzhen tsentralen,,0.023915,0.020657,0.011928,0.014287,0.016646,0.017823,0.025585,0.03244,0.019366,0.018832,0.011115,0.019453
CZ01,Praha,,0.290058,0.295398,0.32321,0.502455,0.48867,0.502359,0.575918,0.59871,0.466171,0.541304,0.402947,0.642179
CZ02,Střední Čechy,,0.004886,0.004317,0.004872,0.015211,0.016905,0.016877,0.024269,0.026342,0.013486,0.014197,0.007376,0.020491
CZ03,Jihozápad,,0.021166,0.020339,0.018231,0.04556,0.04518,0.060459,0.080917,0.101442,0.041898,0.045732,0.018611,0.054936
CZ04,Severozápad,,0.051867,0.073126,0.026367,0.071387,0.064791,0.060408,0.0715,0.083894,0.044896,0.077769,0.025747,0.084847
CZ05,Severovýchod,,0.087337,0.145442,0.019618,0.0617,0.065143,0.064742,0.093902,0.115195,0.03943,0.06056,0.028197,0.099979
CZ06,Jihovýchod,,0.017164,0.021616,0.022639,0.040783,0.045417,0.046668,0.065933,0.068391,0.042037,0.037476,0.026914,0.038762
CZ07,Střední Morava,,0.008934,0.010347,0.006347,0.010402,0.013067,0.014595,0.017572,0.022167,0.010981,0.008432,0.007939,0.01335
CZ08,Moravskoslezsko,,0.00587,0.007187,0.005631,0.008,0.009909,0.011266,0.013052,0.015634,0.010874,0.0079,0.007542,0.010513
DK01,Hovedstaden,,0.090143,0.091285,0.116142,0.201907,0.264641,0.301593,0.528703,0.527542,0.240172,0.175013,0.118634,0.168226
DK02,Sjælland,,0.012558,0.013374,0.01364,0.038494,0.03576,0.054958,0.131354,0.17875,0.039048,0.036368,0.015095,0.030327
DK03,Syddanmark,,0.032212,0.03157,0.046364,0.113573,0.109137,0.128583,0.26246,0.306398,0.094874,0.114521,0.037756,0.070182
DK04,Midtjylland,,0.033297,0.023258,0.033057,0.068133,0.093025,0.086962,0.204323,0.226736,0.065161,0.073491,0.028905,0.052999
DK05,Nordjylland,,0.014038,0.011395,0.01683,0.042562,0.041696,0.061495,0.165762,0.162839,0.042797,0.048451,0.012748,0.040032
DE11,Stuttgart,,0.034448,0.032904,0.044558,0.045555,0.050101,0.052522,0.068462,0.06284,0.047747,0.057407,0.042907,0.043312
DE12,Karlsruhe,,0.031461,0.03002,0.035678,0.049509,0.055936,0.054405,0.089384,0.094197,0.051862,0.053508,0.038749,0.05557
DE13,Freiburg,,0.046516,0.052771,0.054129,0.144228,0.134766,0.127601,0.268546,0.287542,0.12311,0.137803,0.079458,0.168006
DE14,Tübingen,,0.017485,0.019437,0.02231,0.038374,0.036549,0.042666,0.080378,0.074289,0.03663,0.032659,0.023755,0.027496
DE21,Oberbayern,,0.085666,0.091182,0.072807,0.139081,0.141074,0.15346,0.220467,0.195701,0.215039,0.146562,0.084048,0.147149
DE22,Niederbayern,,0.012017,0.012829,0.01165,0.01542,0.016826,0.018386,0.03263,0.029602,0.017405,0.021252,0.012778,0.0147
DE23,Oberpfalz,,0.006899,0.0078,0.009097,0.012153,0.01339,0.014207,0.019326,0.019255,0.012841,0.013682,0.012573,0.011645
DE24,Oberfranken,,0.009201,0.008318,0.01034,0.010906,0.014329,0.016468,0.025228,0.024276,0.01407,0.013485,0.01048,0.012317
DE25,Mittelfranken,,0.03072,0.033049,0.03184,0.023765,0.03043,0.032426,0.05053,0.043824,0.033744,0.032309,0.030573,0.048179
DE26,Unterfranken,,0.008954,0.011262,0.012741,0.013387,0.016648,0.019365,0.02622,0.02393,0.016306,0.016236,0.013732,0.012254
DE27,Schwaben,,0.028517,0.041425,0.027525,0.048366,0.049589,0.054286,0.097912,0.089799,0.052086,0.047599,0.024963,0.041304
DE30,Berlin,,0.108769,0.148115,0.143106,0.189866,0.202512,0.193295,0.262715,0.217692,0.205833,0.210282,0.155345,0.178662
DE40,Brandenburg,,0.018395,0.020464,0.022208,0.027265,0.033572,0.035318,0.060168,0.048323,0.038368,0.033402,0.026104,0.023238
DE50,Bremen,,0.010055,0.010093,0.01063,0.01319,0.014402,0.017741,0.022265,0.021214,0.020403,0.017054,0.017099,0.017997
DE60,Hamburg,,0.016013,0.01807,0.01866,0.028294,0.03121,0.031419,0.047946,0.038541,0.035294,0.029439,0.023891,0.029861
DE71,Darmstadt,,0.043706,0.049014,0.051863,0.044072,0.055423,0.062085,0.071882,0.061857,0.056091,0.07292,0.049576,0.047648
DE72,Gießen,,0.005843,0.007331,0.00842,0.008088,0.009672,0.010337,0.013848,0.013791,0.010887,0.010668,0.008931,0.008554
DE73,Kassel,,0.01246,0.020702,0.014765,0.016117,0.02124,0.019505,0.032943,0.032463,0.019072,0.018195,0.015388,0.022563
DE80,Mecklenburg-Vorpommern,,0.014479,0.017539,0.022297,0.033755,0.043557,0.064153,0.117592,0.089069,0.038249,0.023711,0.018208,0.017079
DE91,Braunschweig,,0.013255,0.018005,0.01833,0.024437,0.025241,0.030201,0.064854,0.043417,0.025948,0.024848,0.02633,0.019605
DE92,Hannover,,0.013553,0.014471,0.033346,0.026942,0.03622,0.024537,0.032942,0.031198,0.041675,0.023232,0.060361,0.017795
DE93,Lüneburg,,0.012112,0.012253,0.016367,0.017818,0.020756,0.023668,0.044715,0.03459,0.027868,0.022981,0.024834,0.016014
DE94,Weser-Ems,,0.021273,0.022328,0.026024,0.028999,0.033501,0.037503,0.053353,0.048712,0.03695,0.034545,0.027699,0.029314
DEA1,Düsseldorf,,0.074646,0.056783,0.080228,0.074132,0.083838,0.080189,0.105216,0.103042,0.100703,0.160883,0.11512,0.100815
DEA2,Köln,,0.051226,0.048734,0.075183,0.088557,0.104097,0.102023,0.125666,0.13706,0.096869,0.133284,0.085841,0.126699
DEA3,Münster,,0.015001,0.014591,0.015093,0.018833,0.021754,0.021808,0.029006,0.027714,0.023013,0.026951,0.020615,0.022749
DEA4,Detmold,,0.012695,0.011016,0.013408,0.015984,0.018673,0.019466,0.024064,0.025649,0.022768,0.018946,0.018821,0.01685
DEA5,Arnsberg,,0.058103,0.082136,0.042428,0.037226,0.043185,0.039886,0.058906,0.060907,0.047291,0.047962,0.033555,0.070467
DEB1,Koblenz,,0.017442,0.017665,0.024302,0.048081,0.056788,0.060317,0.102049,0.106826,0.057942,0.053083,0.02537,0.038901
DEB2,Trier,,0.011408,0.012218,0.016167,0.042524,0.046017,0.046346,0.082951,0.08616,0.046052,0.042077,0.022043,0.032436
DEB3,Rheinhessen-Pfalz,,0.017085,0.018312,0.021475,0.026897,0.031245,0.032337,0.043134,0.044057,0.033015,0.026673,0.024669,0.027445
DEC0,Saarland,,0.005897,0.00676,0.008322,0.011884,0.012058,0.010951,0.018589,0.020903,0.013154,0.012097,0.009956,0.011523
DED2,Dresden,,0.018126,0.016706,0.017719,0.030719,0.037615,0.042047,0.065834,0.063041,0.036321,0.031123,0.027509,0.039323
DED4,Chemnitz,,0.007586,0.009463,0.010966,0.00994,0.011339,0.012841,0.020333,0.017645,0.010551,0.012563,0.010316,0.011008
DED5,Leipzig,,0.012898,0.012814,0.013536,0.015769,0.018742,0.019798,0.024237,0.022091,0.018034,0.01764,0.01473,0.01698
DEE0,Sachsen-Anhalt,,0.016176,0.015992,0.01979,0.020571,0.023454,0.028767,0.055359,0.04189,0.027586,0.025023,0.022465,0.021402
DEF0,Schleswig-Holstein,,0.025454,0.02722,0.033728,0.050425,0.055282,0.075765,0.148998,0.092604,0.059152,0.048882,0.042029,0.043596
DEG0,Thüringen,,0.010661,0.011702,0.014549,0.014432,0.01812,0.021484,0.030466,0.027314,0.018773,0.016851,0.014653,0.013531
EE00,Eesti,,0.047997,0.049273,0.050564,0.076681,0.093149,0.160892,0.284897,0.216397,0.081155,0.076454,0.058341,0.09888
IE04,Northern and Western,,0.033127,0.042675,0.079606,0.158607,0.186217,0.200886,0.333922,0.37204,0.172502,0.127386,0.055846,0.063917
IE05,Southern,,0.030573,0.040472,0.083466,0.160081,0.222064,0.241226,0.351399,0.408383,0.219487,0.133897,0.058877,0.061379
IE06,Eastern and Midland,,0.077265,0.090533,0.153134,0.179725,0.212324,0.251072,0.305516,0.347706,0.226614,0.198961,0.141904,0.136094
EL30,Attiki,,0.279993,0.331212,0.439613,0.753883,0.892549,1.00158,1.139497,1.096412,1.034175,0.883994,0.437408,0.422649
EL41,Voreio Aigaio,,0.002734,0.002559,0.007932,0.018987,0.036277,0.085857,0.182377,0.199078,0.099398,0.026324,0.006843,0.005434
EL42,Notio Aigaio,,0.013716,0.013444,0.043752,0.330512,0.624128,1.286713,1.925615,1.982753,1.379321,0.561855,0.056027,0.021508
EL43,Kriti,,0.026234,0.03455,0.065699,0.442849,0.680402,1.179257,1.796094,1.80082,1.329051,0.77111,0.086346,0.042482
EL51,"Anatoliki Makedonia, Thraki",,0.01187,0.009218,0.020032,0.037453,0.062933,0.257228,0.456328,0.519946,0.229033,0.031886,0.024093,0.027711
EL52,Kentriki Makedonia,,0.067018,0.073659,0.105124,0.191276,0.278161,0.805996,1.280302,1.424276,0.71782,0.213395,0.101539,0.10375
EL53,Dytiki Makedonia,,0.000905,0.000624,0.000882,0.001995,0.001876,0.002194,0.00354,0.004094,0.002894,0.002213,0.000844,0.001233
EL54,Ipeiros,,0.003146,0.003554,0.006301,0.019684,0.026028,0.075568,0.138406,0.137513,0.075645,0.021141,0.005699,0.005232
EL61,Thessalia,,0.007601,0.006827,0.012345,0.038653,0.05914,0.174793,0.295342,0.319329,0.156242,0.052972,0.011814,0.012948
EL62,Ionia Nisia,,0.00519,0.007497,0.016433,0.235539,0.520598,1.395769,2.064078,2.14311,1.330221,0.408601,0.014052,0.010136
EL63,Dytiki Elláda,,0.004121,0.004186,0.007434,0.019395,0.017706,0.03296,0.06949,0.08104,0.037521,0.018541,0.006182,0.006422
EL64,Sterea Elláda,,0.004828,0.005651,0.008152,0.022329,0.023265,0.041986,0.076489,0.089261,0.041525,0.024073,0.008774,0.009933
EL65,Peloponnisos,,0.020235,0.021603,0.035796,0.120284,0.11812,0.188493,0.331142,0.369228,0.218622,0.162654,0.040159,0.033399
ES11,Galicia,,0.034575,0.031865,0.044038,0.111492,0.150097,0.198486,0.262476,0.320031,0.185806,0.1172,0.055483,0.084296
ES12,Principado de Asturias,,0.016031,0.016744,0.023256,0.039335,0.048238,0.061065,0.124843,0.119658,0.059772,0.04225,0.018068,0.023756
ES13,Cantabria,,0.010961,0.011886,0.014388,0.034417,0.055743,0.064785,0.150154,0.144083,0.059443,0.039494,0.012094,0.014595
ES21,País Vasco,,0.04364,0.053006,0.073196,0.148682,0.205838,0.198546,0.30754,0.293072,0.195436,0.172022,0.072916,0.070251
ES22,Comunidad Foral de Navarra,,0.006225,0.008288,0.00849,0.020701,0.027947,0.021532,0.047774,0.041794,0.021885,0.019102,0.014142,0.009955
ES23,La Rioja,,0.002817,0.002939,0.004836,0.009425,0.014903,0.017833,0.027261,0.022143,0.018058,0.012139,0.00579,0.005361
ES24,Aragón,,0.018843,0.024981,0.027017,0.035049,0.040053,0.044246,0.065084,0.072579,0.043074,0.040413,0.019716,0.02736
