NUTS,Region name,Total,January,February,March,April,May,June,July,August,September,October,November,December
ES62,Región de Murcia,,0.125360,0.193865,0.300140,0.257867,0.306269,0.354016,0.528783,0.667454,0.336933,0.248996,0.199412,0.176485
ES63,Ciudad de Ceuta,,0.005359,0.005059,0.008474,0.009349,0.007275,0.006090,0.008083,0.009297,0.007040,0.008460,0.005011,0.005454
ES64,Ciudad de Melilla,,0.006721,0.008153,0.008514,0.008973,0.010607,0.011479,0.008250,0.010525,0.010726,0.010966,0.009215,0.007518
ES70,Canarias,,0.683413,0.602194,0.775171,0.764616,1.016759,1.232053,1.558347,1.939763,1.312480,0.965854,0.689323,0.760937
FR10,Ile-de-France,,2.983668,2.867372,3.316362,3.203533,3.358149,3.344207,3.205122,3.145824,3.468007,3.665890,3.571821,3.435481
FRB0,Centre — Val de Loire,,0.361464,0.399886,0.496650,0.702814,0.853981,0.775238,1.066696,1.241675,0.689844,0.554295,0.389804,0.423908
FRC1,Bourgogne,,0.223842,0.251366,0.307085,0.345428,0.475921,0.460760,0.595423,0.699108,0.440440,0.356049,0.292333,0.256155
FRC2,Franche-Comté,,0.145822,0.166140,0.165064,0.156404,0.302964,0.292723,0.525654,0.688618,0.258821,0.166342,0.123533,0.135696
FRD1,Basse-Normandie,,0.217296,0.287503,0.374609,0.669624,0.914422,0.764661,1.227033,1.645736,0.687099,0.510761,0.329046,0.252483
FRD2,Haute-Normandie,,0.235527,0.261813,0.231945,0.276794,0.429313,0.386662,0.451715,0.567879,0.344354,0.340838,0.274824,0.231713
FRE1,Nord-Pas de Calais,,0.379579,0.415318,0.485245,0.543701,0.650494,0.618382,0.741501,0.859900,0.595589,0.542425,0.477727,0.443984
FRE2,Picardie,,0.205125,0.211504,0.271708,0.445005,0.527437,0.446938,0.616275,0.763744,0.394094,0.370370,0.249974,0.230613
FRF1,Alsace,,0.296297,0.329940,0.403699,0.469802,0.574523,0.561135,0.620933,0.741688,0.541791,0.521235,0.452866,0.681579
FRF2,Champagne-Ardenne,,0.147160,0.150850,0.193131,0.209706,0.279796,0.276299,0.308887,0.347748,0.282181,0.242045,0.198520,0.176884
FRF3,Lorraine,,0.304697,0.346386,0.343664,0.369495,0.448995,0.434182,0.543889,0.676263,0.380451,0.376015,0.323986,0.366205
FRG0,Pays de la Loire,,0.539757,0.585718,0.751469,1.659287,2.276277,1.946271,4.291363,5.775237,1.702922,0.996700,0.681760,0.566092
FRH0,Bretagne,,0.458865,0.542647,0.745211,1.546463,2.247392,1.992735,3.872408,5.274691,1.922398,0.992184,0.613306,0.532277
FRI1,Aquitaine,,0.663113,0.716167,0.988847,1.868012,2.450565,2.360111,5.753537,7.818841,2.341984,1.473108,0.885024,0.726331
FRI2,Limousin,,0.068940,0.080524,0.099345,0.123778,0.196588,0.204280,0.357885,0.514485,0.182409,0.131259,0.091998,0.077180
FRI3,Poitou-Charentes,,0.343569,0.408056,0.522469,1.166905,1.439885,1.305004,2.845212,3.857424,1.191673,0.743355,0.457791,0.395909
FRJ1,Languedoc-Roussillon,,0.488466,0.605348,0.750581,1.916050,2.658751,2.880088,6.522856,8.873820,2.587653,1.147554,0.603220,0.547030
FRJ2,Midi-Pyrénées,,0.621173,0.749291,0.771069,0.868011,1.166661,1.215748,2.142787,2.897477,1.177213,0.927506,0.552489,0.607860
FRK1,Auvergne,,0.232617,0.298065,0.298491,0.338851,0.571760,0.564659,1.087394,1.464381,0.504678,0.362087,0.228024,0.241380
FRK2,Rhône-Alpes,,3.407318,4.070610,3.809367,2.405119,2.372254,2.683359,5.163167,6.699637,2.211877,1.566016,1.326615,2.515315
FRL0,Provence-Alpes-Côte d’Azur,,1.512154,1.843251,2.040823,2.801188,3.517999,3.645838,6.043882,7.971792,3.452831,2.356558,1.354155,1.431778
FRM0,Corse,,0.045322,0.053466,0.072539,0.335799,0.689366,0.917068,1.534086,1.930340,1.062707,0.434692,0.079345,0.056769
FRY1,Guadeloupe,,0.123097,0.129009,0.123147,0.106062,0.084378,0.061034,0.085071,0.102369,0.031699,0.064446,0.083421,0.106943
FRY2,Martinique,,0.117570,0.119565,0.107999,0.087301,0.081798,0.057647,0.087758,0.100489,0.036027,0.060047,0.080984,0.095717
FRY3,Guyane,,:,:,:,:,:,:,:,:,:,:,:,:
FRY4,La Réunion,,0.121494,0.089675,0.117675,0.102158,0.123891,0.086089,0.118388,0.142730,0.107911,0.144994,0.138093,0.132218
